Kingdom: Two Crowns,"Adventure, simulation",Noio and Licorice,Raw Fury,"December 11, 2018",
Kingdom Come: Deliverance,Action role-playing,"Warhorse Studios, Saber Interactive",Prime Matter,TBA,
Kingdom Hearts III,Action role-playing,Square Enix,Square Enix,"February 10, 2022",
Kingdom Hearts HD 1.5 Remix,Action role-playing,Square Enix,Square Enix,"February 10, 2022",
Kingdom Hearts HD 2.5 Remix,Action role-playing,Square Enix,Square Enix,"February 10, 2022",
Kingdom Hearts HD 2.8 Final Chapter Prologue,Action role-playing,Square Enix,Square Enix,"February 10, 2022",
Kingdom Hearts: Melody of Memory,Rhythm,Square Enix,Square Enix,"November 11, 2020",
Kingdom of Arcadia,Action-adventure,Spoonbox Studio,EastAsiaSoft,"April 14, 2021",
Kingdom of Night,Action role-playing,Black Seven Studios,Dangen Entertainment,2022,
Kingdom Rush: Frontiers,Tower defense,Ironhide Game Studio,Ironhide Game Studio,"February 27, 2020",
Kingdoms of Amalur: Re-Reckoning,"Action role-playing, hack and slash",Kaiko,THQ Nordic,"March 16, 2021",
Kingpin: Reloaded,First-person shooter,Slipgate Ironworks,"3D Realms, Interplay",TBA,
Kings of Paradise,Visual novel,Voltage,Voltage,"May 27, 2021",[193]
Kin'iro Loveriche,Visual novel,Saga Planets,Entergram,"February 25, 2021",
Kin'iro Loveriche: Golden Time,Visual novel,Saga Planets,Entergram,"February 25, 2021",
Kirby and the Forgotten Land,Platformer,HAL Laboratory,Nintendo,"March 25, 2022",
Kirby Fighters 2,Fighting,"HAL Laboratory, Vanpool",Nintendo,"September 23, 2020",
Kirby Star Allies,Platformer,HAL Laboratory,Nintendo,"March 16, 2018",
Kirby's Dream Buffet,Action,HAL Laboratory,Nintendo,2022,
Kishi Fujii Souta no Shogi Training,Puzzle,Game Studio,Game Studio,"March 5, 2020",[194]
Kissed by the Baddest Bidder,Visual novel,Voltage,Voltage,"November 28, 2019",[195][196]
Kitaria Fables,"Action-adventure, role-playing",MassHive Media,PQube,"September 2, 2021",[197]
Kitsune Tails,Platformer,"Kitsune Games, MidBoss",Ratalaika Games,2022,[198]
Kitten Squad,Twin-stick shooter,Arcade Distillery,People for the Ethical Treatment of Animals,"May 10, 2018",[199]
Klang 2,Rhythm,Tinimations,Ratalaika Games,"November 17, 2021",[200]
Klaus,Puzzle platformer,La Cosa Entertainment,La Cosa Entertainment,"June 18, 2020",
Klonoa Phantasy Reverie Series,Platformer,Monkey Craft,Bandai Namco Entertainment,"July 7, 2022",
Knight Squad,Shoot 'em up,Chainsawecome Games,Chainsawecome Games,"June 5, 2020",
Knight Squad 2,Shoot 'em up,Chainsawecome Games,Chainsawecome Games,"April 14, 2021",
Knight Terrors,Platformer,Freakzone Games,Nicalis,"October 24, 2017",[201]
A Knight's Quest,Action-adventure,Sky9 Games,Curve Digital,"October 10, 2019",[202][203]
Knightin'+,Adventure,Muzt Die Studios,Ratalaika Games,"February 20, 2020",[23][190][204]
Knights and Bikes,Action-adventure,Foam Sword Games,JP: PlayismWW: Double Fine Productions,"February 6, 2020",
Knights & Guns,Run and gun,Baltoro Games,Baltoro Games,"September 9, 2021",[205]
Knights in the Nightmare Remaster,"Strategy, shoot 'em up, role-playing",Sting,Sting,2022,[206]
Knights of Pen and Paper +1 Deluxier Edition,Role-playing,"Behold Studios, Seaven Studio",JP: Worker BeeWW: Plug In Digital,"May 29, 2018",
Knives Out,Battle royale,NetEase,NetEase,"October 31, 2019",[207]
Knockout City,Sports,Velan Studios,Electronic Arts,"May 21, 2021",
Knockout Home Fitness,Exergaming,Pocket,JP: PocketNA: Xseed GamesPAL: Marvelous Europe,"October 29, 2020",[208][209]
Knowledge Trainer: Trivia,Puzzle,The Binary Family,The Binary Family,"November 28, 2019",[210]
"Kochira, Haha Naru Hoshi Yori",Visual novel,Daisyworld,Nippon Ichi Software,"October 28, 2021",[211]
Koi DX,Action-adventure,Circle Entertainment,Circle Entertainment,"October 5, 2017",[212]
Koi no Hanasaku Hyakkaen,Visual novel,Takuyo,Takuyo,"January 30, 2020",[213]
Koi Suru Otome to Shugo no Tate – Re:boot The “Shield-9”,Visual novel,Giga,Entergram,"November 26, 2020",[214]
Kona,Adventure,Parabole,Koch Media,"March 9, 2018",
KonoSuba: God’s Blessing on this Wonderful World! Labyrinth of Hope and the Gathering of Adventurers! Plus,Role-playing,Entergram,Entergram,"August 27, 2020",
KonoSuba: God's Blessing on this Wonderful World! Love for this Tempting Attire,Adventure,Mages,Mages,"September 24, 2020",
Koral,Puzzle,Carlos Coronado,Carlos Coronado,"May 16, 2019",[215][216]
Kotoba no Puzzle: Moji Pittan Encore,Puzzle,Bandai Namco,Bandai Namco,"April 2, 2020",[217]
Kotodama: The 7 Mysteries of Fujisawa,Visual novel,"Art Co., Ltd",PQube,"May 31, 2019",
Kowloon Youma Gakuen Ki: Origin of Adventure,Role-playing,Toy Box,Arc System Works,"June 4, 2020",[218]
Kowloon's Gate VR: Suzaku,Adventure,Jetman,Jetman,TBA,[219]
Kowloon's Rhizome: A Day of the Fire,Adventure,"MCF, Uani Studio",Uani Studio,TBA,[220]
KukkoroDays,Visual novel,Qureate,Qureate,"August 6, 2020",[221]
Kumo,Puzzle,Benjamin Gregg,Tales Art Studio,TBA,[222]
Kunai,Metroidvania,TurtleBlaze,JP: Intra GamesWW: The Arcade Crew,"February 6, 2020",[223][224]
KungFu Kickball,Sports,WhaleFood Games,Blowfish Games,"December 2, 2021",[225]
Kunio-kun: The World Classics Collection,Compilation,Technōs Japan,Arc System Works,"December 20, 2018",
Kuso,Platform,Mokuzai Studio,Mokuzai Studio,"November 20, 2018",[226][227]
Kuukiyomi: Consider It!,Adventure,G-Mode,G-Mode,"August 30, 2018",[228][229]
Kwaidan: Azuma Manor Story,Point-and-click adventure,Gudouan,Rainy Frog,"August 20, 2020",[230]
Kyukyoku Tiger-Heli,Shoot 'em up,M2,M2,"October 28, 2021",[231]
L.A. Noire,Action-adventure,"Team Bondi, Virtuos",Rockstar Games,"November 14, 2017",
La-Mulana,Platform,Nigoro,Playism,"March 17, 2020",
La-Mulana 2,Platform,Nigoro,Playism,"March 17, 2020",
Labyrinth of Refrain: Coven of Dusk,Role-playing,Nippon Ichi Software,Nippon Ichi Software,"September 18, 2018",
Labyrinth Legend,Role-playing,Shinobi Games,JP: RegistaWW: NIS America,"January 28, 2021",[232]
Labyrinth of Zangetsu,Role-playing,Acquire,Acquire,TBA,
Laid-Back Camp: Have a Nice Day!,Adventure,Mages,Mages,"November 11, 2021",
Laid-Back Camp -Virtual- Fumoto Campsite,Adventure,Gemdrops,Gemdrops,"April 8, 2021",
Laid-Back Camp -Virtual- Lake Motosu,Adventure,Gemdrops,Gemdrops,"March 4, 2021",
Lair of the Clockwork God,"Point-and-click adventure, platformer",Size Five Games,Size Five Games,"September 4, 2020",[233]
Lamentum,"Action, adventure, puzzle, role-playing",Obscure Tales,Neon Doctrine,"August 26, 2021",[234]
Landflix Odyssey,Platformer,Fantastico Studio,Fantastico Studio,TBA,
Langrisser I & II HD Remastered,Tactical role-playing,Chara-Ani,JP: Kadokawa GamesWW: NIS America,"April 18, 2019",
The Language of Love,Visual novel,ebi-hime,Ratalaika Games,"October 30, 2020",[235]
Lanota,Rhythm,Noxy Games,Noxy Games,"June 14, 2018",
Lapis x Labyrinth,Action role-playing,Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America,"November 29, 2018",[236][237]
Lara Croft and the Guardian of Light,Action-adventure,Feral Interactive,Square Enix,2022,
Lara Croft and the Temple of Osiris,Action-adventure,Feral Interactive,Square Enix,2022,
The Last Campfire,Puzzleadventure,Hello Games,Hello Games,"August 27, 2020",
The Last Cube,Puzzleadventure,Improx Games,Improx Games,TBA,[238]
Last Day of June,Adventure,Ovosonico,505 Games,"March 16, 2018",
The Last Door,Adventure,The Game Kitchen,Plug In Digital,"May 22, 2019",
Last Encounter,Adventure,Silesia Games,Silesia Games,"February 21, 2020",[23][190]
LastFight,Fighting,Piranaking,Piranaking,"November 20, 2019",[239]
The Last Friend,Tower defence,"Stonebot Studio, Skystone Games",Skystone Games,"April 7, 2022",[240]
The Last Kids on Earth and the Staff of Doom,Action,Stage Clear Studios,Outright Games,"June 4, 2021",
Last Light,Adventurehorror,Team Corn Field,Crest,TBA,[241]
The Last Remnant Remastered,Role-playing,Square Enix,Square Enix,"June 10, 2019",
Last Stop,Adventure,Variable State,Annapurna Interactive,"July 22, 2021",
Later Alligator,Adventure,"SmallBu, Pillow Fight",Pillow Fight,"March 16, 2021",
Later Daters,Dating sim,Bloom Digital Media,Bloom Digital Media,"April 16, 2020",[242]
Lawnmower Game: Next Generation,Simulation,Ultimate Games,Ultimate Games,"February 28, 2021",
Lawnmower Game: Racing,Racing,Ultimate Games,Ultimate Games,"February 25, 2021",
Layers of Fear: Legacy,Psychological horror,Bloober Team,JP: Circle EntertainmentWW: Aspyr,"February 21, 2018",
Layers of Fear 2,Psychological horror,Bloober Team,JP: NA PublishingWW: Bloober Team,"May 20, 2021",
Layton's Mystery Journey,Puzzleadventure,Level-5,Level-5,"August 9, 2018",
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy Deluxe Edition Plus,Puzzleadventure,H.a.n.d.,Level-5,"July 8, 2021",
League of Evil,Platformer,Ravenous Games,Ratalaika Games,"August 31, 2017",
Learn with Nanami! Listening and Reading Test Complete Master,Edutainment,Media5,Media5,"December 21, 2017",
Legal Dungeon,"Adventure, simulation",Somi,Playism,"February 25, 2021",[243]
The Legend of Bum-bo,"Roguelike deck-building, puzzle","Edmund McMillen, James Interactive",Nicalis,"June 29, 2022",[244]
The Legend of Dark Witch,Platformer,Inside System,Inside System,"October 24, 2019",[245]
The Legend of Heroes: Akatsuki no Kiseki,Role-playing,UserJoy Technology,Nihon Falcom,"August 27, 2019",
The Legend of Heroes: Trails from Zero,Role-playing,Nihon Falcom,NIS America,"April 22, 2021",
The Legend of Heroes: Trails into Reverie,Role-playing,Nihon Falcom,NIS America,"August 26, 2021",
The Legend of Heroes: Trails of Cold Steel,Role-playing,"Nihon Falcom, Clouded Leopard Entertainment",Nihon Falcom,"July 8, 2021",
The Legend of Heroes: Trails of Cold Steel II,Role-playing,"Nihon Falcom, Clouded Leopard Entertainment",Nihon Falcom,"August 5, 2021",
The Legend of Heroes: Trails of Cold Steel III,Role-playing,"Nihon Falcom, Engine Software",JP: Nippon Ichi SoftwareWW: NIS America,"March 19, 2020",
The Legend of Heroes: Trails of Cold Steel IV,Role-playing,"Nihon Falcom, Engine Software",JP: Nippon Ichi SoftwareWW: NIS America,"March 18, 2021",
The Legend of Heroes: Trails to Azure,Role-playing,Nihon Falcom,NIS America,"April 22, 2021",
The Legend of Nayuta: Boundless Trails,Action role-playing,"Nihon Falcom, PH3 Games",JP: Nihon FalcomWW: NIS America,"May 26, 2022",
Legend of Kay,Action-adventure,Kaiko,THQ Nordic,"May 29, 2018",
Legend of Mana,Action role-playing,Square Enix,Square Enix,"June 24, 2021",
The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Nintendo,"March 3, 2017",
The Legend of Zelda: Link's Awakening,Action-adventure,Grezzo,Nintendo,"September 20, 2019",
The Legend of Zelda: Skyward Sword HD,Action-adventure,Tantalus Media,Nintendo,"July 16, 2021",
Legends of Ethernal,Action-adventure,Lucid Dreams Studio,JP: NA PublishingWW: Natsume,"September 24, 2020",[246][247]
Lego Brawls,Fighting,RED Games,The Lego Group,June 2022,
Lego Builder's Journey,Puzzle,Light Brick Studio,The Lego Group,"June 22, 2021",
Lego City Undercover,Action-adventure,TT Fusion,Warner Bros. Interactive Entertainment,"April 4, 2017",
Lego DC Super-Villains,Action-adventure,TT Fusion,Warner Bros. Interactive Entertainment,"October 16, 2018",
Lego Harry Potter Collection,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"October 30, 2018",
Lego The Incredibles,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"June 15, 2018",
Lego Jurassic World,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"September 17, 2019",
Lego Marvel Super Heroes,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"October 5, 2021",
Lego Marvel Super Heroes 2,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"November 14, 2017",
The Lego Movie 2 Videogame,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"February 26, 2019",
Lego Ninjago Movie Video Game,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"September 22, 2017",
Lego Star Wars: The Skywalker Saga,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"April 5, 2022",
Lego Worlds,Sandbox,TT Games,Warner Bros. Interactive Entertainment,"September 5, 2017",
Legrand Legacy: Tale of the Fatebounds,Japanese role-playing,Semisoft,Another Indie,"January 24, 2019",
Leisure Suit Larry: Wet Dreams Don't Dry,Adventure,CrazyBunch,Assemble Entertainment,"June 13, 2019",
Leisure Suit Larry: Wet Dreams Dry Twice,Adventure,CrazyBunch,Assemble Entertainment,"May 18, 2021",
Lend Fleur,Adventure,Idea Factory,Idea Factory,"April 25, 2019",[248]
Let's Sing 2020,Rhythm,Voxler,Ravenscourt,"October 24, 2019",[249][250]
Let's Sing 2021,Rhythm,Voxler,Ravenscourt,"November 13, 2020",[251]
Let's Sing Country,Rhythm,Voxler,Koch Media,"October 25, 2019",
Let's Sing Queen,Rhythm,Voxler,JP: Koch MediaWW: Ravenscourt,"October 2, 2020",[252]
Lethal League Blaze,Fighting,Team Reptile,JP: Oizumi AmuzioWW: Team Reptile,"July 12, 2019",
Letter Quest Remastered,Puzzle,Bacon Bandit Games,Digerati,"November 23, 2017",[253]
Levelhead,Action-adventure,Butterscotch Shenanigans,Butterscotch Shenanigans,"April 30, 2020",[254][255]
L.F.O.: Lost Future Omega,"Rhythm, third-person shooter",Kusamochi Factory’s Workshop,Mebius,"December 28, 2017",[256]
The Liar Princess and the Blind Prince,Action,Nippon Ichi Software,Nippon Ichi Software,"May 31, 2018",
Liberated,Graphic novel,Atomic Wolf,Walkabout Games,"June 2, 2020",
Lichtspeer: Double Speer Edition,Action,Lichthund,Crunching Koalas,"September 7, 2017",
Life Is Strange,Adventure,Dontnod Entertainment,Square Enix,"February 1, 2022",
Life Is Strange: Before the Storm,Adventure,Dontnod Entertainment,Square Enix,"February 1, 2022",
Life Is Strange: True Colors,Adventure,Deck Nine,Square Enix,"December 7, 2021",
Life of Fly,Adventure,EpiXR Games,EpiXR Games,"January 14, 2021",[257]
Light Fall,Platformer,Bishop Games,Bishop Games,"April 26, 2018",[258]
Light Fingers,"Action, board game",Numizmatic,Numizmatic,"September 20, 2018",[259]
Lightseekers,"Board game, strategy",PlayFusion,PlayFusion,"January 10, 2019",[260]
Lil Gator Game,Adventure,Megawobble,Playtonic Friends,2022,[261]
Limbo,Platformer,Playdead,Playdead,"June 28, 2018",
Lineage W,Massively multiplayer online role-playing,NCSoft,NCSoft,2022,
Linelight,Puzzle,Plug In Digital,Plug In Digital,"November 12, 2020",[262]
Lines X,Puzzle,Konstructors Entertainment,Nestor Yavorskyy,"June 27, 2019",[25][26]
Lines XL,Puzzle,Nestor Yavorskyy,JP: Hook GamesWW: Nestor Yavorskyy,"February 20, 2020",[23][190][263]
Link-a-Pix Deluxe,Puzzle,Rainy Frog,JP: Rainy FrogWW: Lightwood Games,"December 19, 2019",[264]
Linn: Path of Orchards,"Platformer, puzzle",Fanoos Games,CarbonFire Studio,"August 14, 2020",[265][266]
Little Bit War,Real-time strategy,Ruten no Oheya,Mediascape,"December 5, 2019",[45][46]
Little Busters!,Visual novel,Key,Prototype,"April 23, 2020",
Little Devil Inside,Action,Neostream Interactive,Neostream Interactive,TBA,
Little Dragons Café,"Simulation, role-playing",Aksys Games,Aksys Games,"August 24, 2018",[267]
Little Friends: Dogs & Cats,Simulation,Neilo,Imagineer,"December 6, 2018",
A Little Golf Journey,"Sports, puzzle",Okidokico,Playtonic Games,"October 14, 2021",[268]
Little Inferno,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"March 16, 2017",
Little Nightmares,"Puzzle platformer, survival horror",Tarsier Studios,Bandai Namco Entertainment,"May 18, 2018",
Little Nightmares II,"Puzzle platformer, survival horror",Tarsier Studios,Bandai Namco Entertainment,"February 11, 2021",
Little Shopping,Edutainment,Ultimate Games,Ultimate Games,"March 12, 2019",[73][74]
Little Town Hero,Role-playing,Game Freak,Game Freak,"October 16, 2019",
Little Triangle,Action,Cotton Game,KonanDenki,"March 1, 2018",[269]
Live A Live,Role-playing,Square Enix,Square Enix,"July 22, 2022",
Livestream: Escape from Hotel Izanami,Adventure,Qureate,Qureate,"April 15, 2021",[270]
Locomotion,"Puzzle, adventure, strategy",Polyfox,Polyfox,"July 30, 2020",[271][272]
Loco Motive,Point-and-click adventure,Robust Game,Chucklefish,2022,[273]
Lode Runner Legacy,Platformer,Tozai Games,Tozai Games,"March 29, 2018",
Lonely Mountains: Downhill,Arcade,Megagon,Thunderful,"May 7, 2020",[114][115][274]
The Long Dark,Survival,Hinterland Studio,Hinterland Studio,"September 17, 2020",
The Long Reach,Adventure,Painted Black Games,Painted Black Games,"March 15, 2018",[275]
The Longest Five Minutes,Role-playing,Syupro-DX,NIS America,"February 13, 2018",[276]
The Longing,Adventure,Studio Seufz,Application Systems Heidelberg,"April 14, 2021",
Loop Hero,Action-adventure,Four Quarters,Devolver Digital,"December 9, 2021",
Loopers,Visual novel,Key,Prototype,2022,[277]
The Lord of the Rings: Gollum,Action-adventure,Daedalic Entertainment,Daedalic Entertainment,2022,
The Lord of the Rings: Adventure Card Game,Board game,Fantasy Flight Games,Asmodee,"November 5, 2019",
Lost Artifacts: Soulstone,Strategy,8Floor Games,8Floor Games,"May 9, 2019",[278][279]
Lost Castle,Roguelike,Hunter Studios,Hunter Studios,"September 19, 2019",[280]
The Lost Child,Role-playing,Kadokawa Shoten,NIS America,"June 19, 2018",
The Lost Cube,Platformer,Red Mount Media,JanduSoft,"February 25, 2021",[281]
Lost Ember,Adventure,Mooneye Studios,Mooneye Studios,"September 24, 2020",[282][283][284]
Lost in Harmony,Rhythm,DigixArt,JP: WorkerBeeNA: PlaydiusPAL: Plug In Digital,"June 21, 2018",[285][286][287]
Lost in Random,Action-adventure,Zoink Games,Electronic Arts,"September 10, 2021",
The Lost Light of Sisu,"Action-adventure, platformer",Solvarg,Solvarg,"February 27, 2019",[40][41]
Lost Ruins,Survival,Altari Games,Dangen Entertainment,2021,
Lost Sphear,Role-playing,Tokyo RPG Factory,Square Enix,"October 12, 2017",
Lost Words: Beyond the Page,Puzzle,Sketchbook Games,Modus Games,"April 6, 2021",[288]
Love,Platform,Fred Wood,Mokuzai Studio,"February 14, 2019",
Love 3,Platform,Fred Wood,Screenwave Media,"December 7, 2021",[289]
Love Esquire,Dating sim,Yangyang Mobile,Mama Morin,"August 12, 2021",[290]
Love Letter from Thief X,Visual novel,Voltage,Voltage,"July 9, 2020",[291]
Lovecraft's Untold Stories,Action role-playing,Forsaken Games,Forsaken Games,"May 10, 2019",[278][279]
LoveKami: Divinity Stage,Visual novel,MoeNovel,MoeNovel,"November 26, 2020",[292]
LoveR Kiss,Simulation,Sweet One,Kadokawa Games,"February 27, 2020",[293]
LoverPretend,Visual novel,Idea Factory,Idea Factory,"March 25, 2021",[294]
Lovers in a Dangerous Spacetime,Adventure,Asteroid Base,Asteroid Base,"October 3, 2017",
Lucah: Born of a Dream,Action,melessthanthree,Syndicate Atomic,"July 3, 2019",[295][296]
Luigi's Mansion 3,Action-adventure,Next Level Games,Nintendo,"October 31, 2019",
Lumines Remastered,Puzzle,Resonair,Enhance Games,"June 26, 2018",
Lumini,Adventure,Speelbaars,JP: EastAsiaSoftWW: 2Awesome Studio,"January 24, 2020",[297][298]
Lumione,Platformer,Glimmer Studio,Perfect World Games,"October 13, 2021",[299]
Lumo,Action-adventure,Triple Eh?,Rising Star Games,"November 16, 2017",
Luna: The Shadow Dust,"Puzzle, adventure, role-playing",Lantern Studio,Coconut Island Games,"October 22, 2020",[300]
Lunch A Palooza,Party,Seashell Studio,Seashell Studio,"November 3, 2020",[301]
Lunistice,Platformer,A Grumpy Fox,Deck13,"September 2, 2022",[302]
Lydia,Adventure,Platonic Partnership,Nakana,"January 17, 2020",[303]
Mable & the Wood,Metroidvania,Graffiti Games,Triplevision,"October 10, 2019",[304]
Macbat 64: Journey of a Nice Chap,Platformer,Siactro,Diplodocus Games,"October 2, 2020",[305]
MachiKnights: Blood Bagos,Role-playing,Toorock,CFK,"March 14, 2019",[278][279][306]
Machinarium,Adventure,Amanita Design,Amanita Design,"November 1, 2018",
Mad Carnage,Turn-based strategy,Drageus Games,QubicGames,"February 2, 2018",[307]
Mad Father,"Survival horror, role-playing, puzzle",Sen,Playism,"November 5, 2020",
Mad Rat Dead,"Platformer, rhythm",Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America,"October 29, 2020",
Made in Abyss: Binary Star Falling into Darkness,Action role-playing,Spike Chunsoft,Spike Chunsoft,2022,
Maddening Euphoria,Arcade,Pocket Company,Chequered Ink,"June 28, 2019",[308][309]
Mages of Mystralia,Action-adventure,Borealys Games,JP: H2 InteractiveWW: Borealys Games,"January 29, 2019",
Magical High-School Girl,"Roguelike, role-playing",illuCallab,Sekai Games,"June 7, 2018",[310]
Magic Scroll Tactics,Tactical role-playing,Otori Denshi,Mediascape,"October 25, 2018",[311]
The Magister,Role-playing,Nerdook,Digerati,2021,[312]
Maglam Lord,Action role-playing,Felistella,JP: D3 PublisherWW: PQube,"March 18, 2021",[313][314]
The Mahjong,Mahjong,D3 Publisher,D3 Publisher,"June 21, 2018",[315]
Mahjong Stories: Vampire Romance,Adventure,JetDogs,JetDogs,"March 5, 2019",[316]
Mahōtsukai no Yoru,Visual novel,Type-Moon,Aniplex,December 2022,
Maiden & Spell,Fighting,mino_dev,Nippon Ichi Software,"April 8, 2021",
Maid of Sker,Survival horror,Wales Interactive,Wales Interactive,"November 26, 2020",[317]
Mail Mole,Platformer,Talpa Games,Undergames,"March 4, 2021",
Mana Spark,Action role-playing,"Behemutt, Kishimoto Studios",QubicGames,"December 22, 2018",[318]
Maneater,Action role-playing,"Tripwire Interactive, Blindside Interactive","Tripwire Interactive, Deep Silver","May 25, 2021",
Manifold Garden,Puzzle,William Chyr Studio,William Chyr Studio,"August 18, 2020",
Mantis Burn Racing,Racing,VooFoo Studios,JP: KonamiWW: VooFoo Studios,"November 23, 2017",[319]
Marble It Up!,Puzzle,Bad Habit,Bad Habit,"September 29, 2018",[320]
March to a Million,Simulation,Kairosoft,Kairosoft,"December 5, 2019",[321][322][323]
Märchen Forest: Mylne and the Forest Gift,Role-playing,PrimaryOrbit,Clouded Leopard Entertainment,"January 28, 2021",[324]
Maria the Witch,Action-adventure,Naps Team,Naps Team,"November 9, 2017",[325]
Mario & Sonic at the Olympic Games Tokyo 2020,"Sports, party",Sega,Sega,"November 1, 2019",
Mario + Rabbids Kingdom Battle,Tactical role-playing,Ubisoft Milan,Ubisoft,"August 29, 2017",
Mario + Rabbids Sparks of Hope,Tactical role-playing,Ubisoft Milan,Ubisoft,"October 20, 2022",
Mario Golf: Super Rush,Sports,Camelot Software Planning,Nintendo,"June 25, 2021",
Mario Kart 8 Deluxe,Kart racing,Nintendo EPD,Nintendo,"April 28, 2017",
Mario Kart Live: Home Circuit,"Kart racing, augmented reality","Nintendo, Velan Studios",Nintendo,"October 16, 2020",
Mario Party Superstars,Party,NDcube,Nintendo,"October 29, 2021",
Mario Strikers: Battle League,Sports,"Next Level Games, Nintendo EPD",Nintendo,"June 10, 2022",
Mario Tennis Aces,Sports,Camelot Software Planning,Nintendo,"June 22, 2018",
Marisa and Alice’s Trap Tower,Puzzle,Desunoya,Mediascape,"October 4, 2019",[326]
Mark of the Ninja,"Action, stealth",Klei Entertainment,Klei Entertainment,"October 9, 2018",
Mars: Chaos Menace,Shoot 'em up,Byte4Games,JP: EastAsiaSoftWW: BLG Publishing,"November 16, 2018",[327][328][329]
Mars Horizon,"Strategy, simulation",Auroch Digital,The Irregular Corporation,"November 17, 2020",
Marvel Ultimate Alliance 3: The Black Order,Action role-playing,Team Ninja,Nintendo,"July 19, 2019",
Marvel's Guardians of the Galaxy,Action-adventure,Eidos-Montréal,Square Enix,"October 26, 2021",
Marvel's Midnight Suns,Tactical role-playing,Firaxis Games,2K Games,2022,
Mary Skelter 2,Action role-playing,Compile Heart,Idea Factory,"August 22, 2019",[330]
Mary Skelter Finale,Action role-playing,Compile Heart,Idea Factory,"November 5, 2020",[331]
Mask of Mists,"Action, adventure, puzzle",Sometimes You,Sometimes You,"September 2, 2020",[332]
Masquerada: Songs and Shadows,Tactical role-playing,Witching Hour Studios,Ysbryd Games,"May 9, 2019",[278][279]
Mastercube,"Action, arcade",Warlock Arts,Warlock Arts,"August 8, 2020",[333]
Masters of Anima,"Adventure, strategy",Passtech Games,Focus Home Interactive,"April 10, 2018",[334]
Mastho is Together,Platformer,Kind Cat Games,EastAsiaSoft,"November 17, 2021",[335]
Match,"Board game, party",Sabec,Sabec,"June 4, 2020",[336][337]
Match Three: Pirates! Heir to Davy Jones,Puzzle,Mindscape,Mindscape,"December 25, 2020",
Matchpoint: Tennis Championships,Sports,Torus Games,Kalypso Media,2022,[338]
Mathematical Power Wang Junior High School: Year 1,Edutainment,Media5,Media5,"March 1, 2018",[339]
Mathematical Power Wang Junior High School: Year 2,Edutainment,Media5,Media5,"March 1, 2018",[340]
Mathematical Power Wang Junior High School: Year 3,Edutainment,Media5,Media5,"March 1, 2018",[341]
MathLand,Puzzle,Artax Games,NA: Artax GamesPAL: Didactoons,"February 10, 2020",[342]
Max: The Curse of Brotherhood,Platformer,Stage Clear Studios,Stage Clear Studios,"December 21, 2017",
Mayhem Brawler,Beat 'em up,Hero Concept,Hero Concept,"August 18, 2021",
Mazezam,Puzzle,eSolutions Nordic,eSolutions Nordic,"August 7, 2020",[343][344]
MazM: Jekyll and Hyde,Adventure,Growing Seeds,CFK,"April 2, 2020",
Mecho Tales,Platformer,Arcade Distillery,Arcade Distillery,"December 14, 2017",[345]
Mecho Wars: Desert Ashes,Strategy,Arcade Distillery,Arcade Distillery,"January 10, 2019",
Mechstermination Force,Action,Hörberg Productions,Hörberg Productions,"April 3, 2019",[346][347][348]
Medabots Classics Plus: Kabuto Version,Role-playing,Imagineer,Imagineer,"November 12, 2020",
Medabots Classics Plus: Kuwagata Version,Role-playing,Imagineer,Imagineer,"November 12, 2020",
Mega Man 11,Platformer,Capcom,Capcom,"October 2, 2018",
Mega Man Battle Network Legacy Collection,Real-time tactical role-playing,Capcom,Capcom,2023,
Mega Man Legacy Collection,Platformer,Capcom,Capcom,"May 22, 2018",
Mega Man Legacy Collection 2,Platformer,Capcom,Capcom,"May 22, 2018",
Mega Man X Legacy Collection,Platformer,Capcom,Capcom,"July 24, 2018",
Mega Man X Legacy Collection 2,Platformer,Capcom,Capcom,"July 24, 2018",
Mega Man Zero/ZX Legacy Collection,"Action, platformer",Capcom,Capcom,"February 25, 2020",
Mega Mall Story,Simulation,Kairosoft,Kairosoft,"January 17, 2019",
Mega Party: A Tootuff Adventure,Party,Vetasoft,Microids,"July 14, 2020",[349][350]
Megabyte Punch,Beat 'em up,Team Reptile,Team Reptile,"May 7, 2020",[114][115][351]
Megadimension Neptunia VII,Role-playing,"Idea Factory, Compile Heart",JP: Compile HeartWW: Idea Factory International,"March 19, 2020",
Megaquarium,Simulation,Auroch Digital,JP: Chorus WorldwideWW: Auroch Digital,"October 18, 2019",[352]
Meganoid,Platformer,Orange Pixel,Orange Pixel,"September 8, 2020",[353]
Megaton Musashi,Action role-playing,Level-5,Level-5,"November 11, 2021",[354]
